date,total_pnl,num_trades,avg_size,total_volume,wins,losses,longs,shorts,win_rate,ls_ratio,fg_index,sentiment,sentiment_enc,next_day_pnl,target,pnl_std,vol_bucket
2024-03-04,27799.775742,300,5259.989566666667,1577996.87,266.0,4.0,149.0,151.0,0.9851851851815364,0.9867549668808825,82.0,Extreme Greed,1,19791.026041,1,9453.111137032827,Low
2024-03-05,19791.026041,180,4676.724,841810.32,163.0,0.0,132.0,48.0,0.9999999999938651,2.7499999999427085,90.0,Extreme Greed,1,6814.825139,1,9692.177132294135,Low
2024-03-06,6814.825139,82,3990.4636585365856,327218.02,72.0,0.0,29.0,53.0,0.9999999999861111,0.5471698113104307,75.0,Extreme Greed,1,4271.886236,1,9188.928825129502,Low
2024-03-08,4271.886236,67,2740.047462686567,183583.18,59.0,0.0,48.0,19.0,0.9999999999830509,2.52631578934072,81.0,Extreme Greed,1,9949.501624,1,9596.12607608513,Low
2024-03-09,9949.501624,117,5625.459401709401,658178.75,97.0,10.0,26.0,91.0,0.906542056066294,0.285714285711146,84.0,Extreme Greed,1,2482.9272,1,9542.29069399009,Low
2024-03-10,2482.9272,42,5237.472619047619,219973.85,29.0,9.0,0.0,42.0,0.7631578947167591,0.0,79.0,Extreme Greed,1,3588.179495,1,9147.253377106663,Low
2024-03-11,3588.179495,42,4202.844047619047,176519.44999999998,39.0,0.0,29.0,13.0,0.9999999999743591,2.230769230597633,82.0,Extreme Greed,1,3039.166,1,9575.315635724623,Low
2024-03-12,3039.166,8,12880.10625,103040.85,7.0,0.0,8.0,0.0,0.9999999998571428,7999999999.999999,81.0,Extreme Greed,1,0.0,0,6156.215180413859,Low
2024-03-13,0.0,7,857.2571428571428,6000.799999999999,0.0,0.0,7.0,0.0,0.0,7000000000.0,81.0,Extreme Greed,1,3465.865832,1,3217.914441778105,Low
2024-03-14,3465.865832,18,11440.732222222221,205933.18,16.0,0.0,18.0,0.0,0.9999999999375,18000000000.0,88.0,Extreme Greed,1,6236.513651,1,3026.0958273385704,Low
2024-03-15,6236.513651,62,5675.71629032258,351894.41,41.0,0.0,39.0,23.0,0.9999999999756098,1.6956521738393195,83.0,Extreme Greed,1,228.57984,1,3162.150838374051,Low
2024-03-16,228.57984,8,4652.9575,37223.66,1.0,0.0,6.0,2.0,0.9999999989999999,2.9999999985,81.0,Extreme Greed,1,503.293955,1,2138.518349131189,Low
2024-03-17,503.293955,23,4326.389130434783,99506.95,10.0,0.0,16.0,7.0,0.9999999999,2.2857142853877552,79.0,Extreme Greed,1,1456.9577,1,2299.927307272186,Low
2024-03-18,1456.9577,19,4760.951578947369,90458.08,6.0,0.0,19.0,0.0,0.9999999998333333,19000000000.0,77.0,Extreme Greed,1,668.797973,1,2262.9616473578258,Low
2024-03-19,668.797973,24,9161.868333333334,219884.84,5.0,2.0,14.0,10.0,0.7142857141836735,1.39999999986,79.0,Extreme Greed,1,6423.134599,1,2282.018032665518,Low
2024-03-20,6423.134599,69,3126.171739130435,215705.85,60.0,0.0,45.0,24.0,0.9999999999833334,1.874999999921875,74.0,Greed,3,2335.5080749999997,1,2694.3952276930577,Low
2024-03-21,2335.5080749999997,28,4210.556071428572,117895.57,23.0,0.0,5.0,23.0,0.9999999999565218,0.21739130433837428,78.0,Extreme Greed,1,1297.018477,1,2675.4818858191793,Low
2024-03-24,1297.018477,19,4873.274210526315,92592.20999999999,15.0,0.0,0.0,19.0,0.9999999999333333,0.0,74.0,Greed,3,1302.916428,1,2138.8164636108286,Low
2024-03-25,1302.916428,7,8159.4742857142855,57116.32,6.0,0.0,6.0,1.0,0.9999999998333333,5.9999999939999995,75.0,Extreme Greed,1,3215.906593,1,2039.7669298754422,Low
2024-03-26,3215.906593,118,1682.7558474576272,198565.19,110.0,0.0,116.0,2.0,0.999999999990909,57.999999971,81.0,Extreme Greed,1,150.41114,1,1964.71384233343,Low
2024-03-27,150.41114,38,2628.020789473684,99864.79,12.0,7.0,24.0,14.0,0.63157894733518,1.7142857141632653,83.0,Extreme Greed,1,227.85100799999998,1,2123.3157055191273,Low
2024-03-28,227.85100799999998,13,2717.209230769231,35323.72,9.0,0.0,3.0,10.0,0.9999999998888889,0.29999999997,80.0,Extreme Greed,1,883.097404,1,2182.0112527385436,Low
